"","Reference","sampleID","Sample.Type","sample.matrix","sample.matrix.specific","compartment","Sampling.apparatus","min_mesh_size_um","max_mesh_size_um","site","specific.location","latitude","longitude","season","particles.L.blank.corrected","particles.fish.blank.corrected","particles.kg.blank.corrected","alpha.05","alpha.50","alpha.95","rescaling_correction_factor_5thPercentile","rescaling_correction_factor_50thPercentile","rescaling_correction_factor_95thPercentile","fiber_correction_factor_5thPercentile","fiber_correction_factor_50thPercentile","fiber_correction_factor_95thPercentile","plastic_proportion_correction_5thPercentile","plastic_proportion_correction_50thPercentile","plastic_proportion_correction_95thPercentile","combined_correction_factor_5thPercentile","combined_correction_factor_50thPercentile","combined_correction_factor_95thPercentile","particles.L_rescaled_corrected_5thPercentile","particles.L_rescaled_corrected_50thPercentile","particles.L_rescaled_corrected_95thPercentile","particles.fish_rescaled_corrected_5thPercentile","particles.fish_rescaled_corrected_50thPercentile","particles.fish_rescaled_corrected_95thPercentile","particles.kg_rescaled_corrected_5thPercentile","particles.kg_rescaled_corrected_50thPercentile","particles.kg_rescaled_corrected_95thPercentile"
"41","Zhu et. al 2021","TS LSB06_8","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,5.87,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,82.1874404346101,219.239935852234,467.842999579354,NA,NA,NA
"42","Zhu et. al 2021","TS LSB06_9","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,14.47,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,202.598341241705,540.443249025866,1153.26885926972,NA,NA,NA
"43","Zhu et. al 2021","TS LSB06_10","sample","fish","topsmelt","marine","otter trawl/cast net",25,5000,"Lower South Bay",NA,"37.4576","-122.0921",NA,NA,1.8,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,25.2022815642757,67.2286004316903,143.461226446821,NA,NA,NA
"44","Zhu et. al 2021","AN TB101_1","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,0,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,0,0,0,NA,NA,NA
"45","Zhu et. al 2021","AN TB101_2","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,0,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,0,0,0,NA,NA,NA
"46","Zhu et. al 2021","AN TB101_3","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,1.73,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,24.2221928367761,64.6141548593467,137.882178751667,NA,NA,NA
"47","Zhu et. al 2021","AN TB101_4","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,0.13,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,1.82016477964213,4.85539892006652,10.3610885767148,NA,NA,NA
"48","Zhu et. al 2021","AN TB101_5","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,1.8,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,25.2022815642757,67.2286004316903,143.461226446821,NA,NA,NA
"49","Zhu et. al 2021","AN TB101_6","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,1,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA
"50","Zhu et. al 2021","AN TB101_7","sample","fish","anchovy","marine","otter trawl/cast net",25,5000,"Tomales Bay",NA,"38.2093","-122.9292",NA,NA,5.47,NA,2.52324644998914,2.59054973024628,2.65637013529981,134.754079504027,167.335305403193,206.810610477451,NA,NA,NA,0.0846322743446807,0.224011531342449,0.457046955760648,14.0012675357087,37.3492224620501,79.7006813593449,NA,NA,NA,76.5869334203266,204.300246867414,435.962727035616,NA,NA,NA
